time_ms,temp_c,humidity,gas_raw,bvoc,label
20000,21.02,23.75,12.31,0.50,1
40000,20.69,24.44,10.64,0.50,1
60000,20.64,24.88,10.67,0.50,1
80000,20.62,24.75,10.68,0.50,1
100000,20.61,24.66,10.70,0.50,1
120000,20.58,24.69,10.70,0.50,1
140000,20.56,24.60,10.71,0.50,1
160000,20.56,24.81,10.71,0.50,1
180000,20.59,25.22,10.70,0.54,1
200000,20.64,25.19,10.70,0.53,1
220000,20.68,25.04,10.71,0.51,1
240000,20.72,25.59,10.70,0.54,1
260000,20.71,24.78,10.73,0.47,1
280000,20.68,24.52,10.74,0.46,1
300000,20.65,24.44,10.74,0.48,1
320000,20.63,24.45,10.74,0.50,1
340000,20.62,24.50,10.75,0.50,1
360000,20.61,24.51,10.74,0.52,1
380000,20.61,24.37,10.75,0.52,1
400000,20.59,24.39,10.75,0.49,1
420000,20.60,24.38,10.78,0.48,1
440000,20.60,24.52,10.74,0.59,1
460000,20.60,24.49,10.73,0.64,1
480000,20.60,24.48,10.73,0.66,1
500000,20.58,24.40,10.72,0.70,1
520000,20.58,24.44,10.72,0.71,1
540000,20.59,24.44,10.71,0.75,1
560000,20.61,24.40,10.72,0.73,1
580000,20.60,24.37,10.73,0.69,1
600000,20.61,24.42,10.73,0.67,1
620000,20.62,24.43,10.74,0.65,1
640000,20.63,24.41,10.75,0.62,1
660000,20.62,24.39,10.74,0.60,1
680000,20.63,24.44,10.75,0.60,1
700000,20.63,24.39,10.75,0.58,1
720000,20.64,24.36,10.77,0.53,1
740000,20.65,24.41,10.78,0.49,1
760000,20.65,24.40,10.78,0.50,1
780000,20.65,24.32,10.80,0.49,1
800000,20.65,24.37,10.80,0.50,1
820000,20.66,24.39,10.80,0.51,1
840000,20.67,24.38,10.80,0.50,1
860000,20.66,24.34,10.81,0.50,1
880000,20.66,24.37,10.81,0.51,1
900000,20.68,24.42,10.80,0.51,1
920000,20.68,24.44,10.80,0.51,1
940000,20.69,24.44,10.81,0.50,1
960000,20.69,24.40,10.81,0.50,1
980000,20.71,24.40,10.81,0.50,1
1000000,20.70,24.35,10.82,0.50,1
1020000,20.70,24.40,10.82,0.50,1
1040000,20.69,24.33,10.81,0.52,1
1060000,20.69,24.36,10.82,0.50,1
1080000,20.70,24.38,10.82,0.51,1
1100000,20.72,24.55,10.81,0.52,1
1120000,20.74,24.51,10.81,0.53,1
1140000,20.73,24.48,10.83,0.49,1
1160000,20.71,24.43,10.82,0.50,1
1180000,20.71,24.45,10.83,0.50,1
1200000,20.70,24.74,10.82,0.53,1
1220000,20.70,24.55,10.83,0.50,1
1240000,20.71,24.59,10.83,0.51,1
1260000,20.71,24.67,10.83,0.51,1
1280000,20.72,24.77,10.83,0.52,1
1300000,20.72,24.75,10.82,0.52,1
1320000,20.74,24.80,10.82,0.53,1
1340000,20.72,24.61,10.83,0.50,1
1360000,20.72,24.53,10.83,0.50,1
1380000,20.69,24.61,10.83,0.51,1
1400000,20.69,24.62,10.84,0.50,1
1420000,20.70,24.76,10.83,0.51,1
1440000,20.70,24.72,10.84,0.50,1
1460000,20.70,24.79,10.84,0.50,1
1480000,20.70,24.74,10.84,0.50,1
1500000,20.70,24.65,10.85,0.50,1
1520000,20.69,24.72,10.84,0.52,1
1540000,20.71,24.76,10.84,0.54,1
1560000,20.71,24.74,10.84,0.52,1
1580000,20.72,24.64,10.84,0.53,1
1600000,20.71,24.73,10.84,0.51,1
1620000,20.70,24.89,10.84,0.51,1
1640000,20.68,24.97,10.84,0.51,1
1660000,20.67,24.91,10.85,0.51,1
1680000,20.66,24.83,10.85,0.50,1
1700000,20.63,24.83,10.84,0.51,1
1720000,20.62,24.85,10.84,0.51,1
1740000,20.60,25.05,10.84,0.52,1
1760000,20.58,24.90,10.85,0.50,1
1780000,20.55,24.95,10.85,0.52,1
1800000,20.58,26.67,10.80,0.64,1
1820000,20.64,26.73,10.81,0.71,1
1840000,20.69,27.00,10.78,0.73,1
1860000,20.75,27.68,10.77,0.84,1
1880000,20.77,26.92,10.80,0.72,1
1900000,20.79,26.89,10.79,0.70,1
1920000,20.80,27.22,10.79,0.69,1
1940000,20.78,26.58,10.80,0.66,1
1960000,20.78,26.82,10.79,0.68,1
1980000,20.77,26.16,10.82,0.60,1
2000000,20.76,26.08,10.82,0.60,1
2020000,20.77,26.60,10.81,0.64,1
2040000,20.79,26.55,10.80,0.64,1
2060000,20.82,26.50,10.81,0.64,1
2080000,20.83,26.52,10.81,0.64,1
2100000,20.85,26.65,10.80,0.66,1